,name_x,name_y,surname_x,surname_y,n_sur,gender,party,state,region,age_years,generation,cmltv_cong,cmltv_chamber,exper_cong,exper_chamber
49,JON TESTER,JON TESTER,TESTER,TESTER,J_TESTER,M,D,MT,West,58.36824093,Boomers,5,5,"(1, 10]","(1, 5]"
50,JONI ERNST,JONI ERNST,ERNST,ERNST,J_ERNST,F,R,IA,Midwest,44.50924025,Gen X,1,1,"(0, 1]","(0, 1]"
51,KELLY AYOTTE,KELLY AYOTTE,AYOTTE,AYOTTE,K_AYOTTE,F,R,NH,Northeast,46.51882272,Gen X,3,3,"(1, 10]","(1, 5]"
52,KIRSTEN GILLIBRAND,KIRSTEN GILLIBRAND,GILLIBRAND,GILLIBRAND,K_GILLIBRAND,F,D,NY,Northeast,48.06844627,Gen X,5,4,"(1, 10]","(1, 5]"
53,LAMAR ALEXANDER,LAMAR ALEXANDER,ALEXANDER,ALEXANDER,L_ALEXANDER,M,R,TN,Southeast,74.50239562,Silent,7,7,"(1, 10]","(5, 100]"
54,LINDSEY GRAHAM,LINDSEY GRAHAM,GRAHAM,GRAHAM,L_GRAHAM,M,R,SC,Southeast,59.4880219,Boomers,11,7,"(10, 100]","(5, 100]"
55,LISA MURKOWSKI,LISA MURKOWSKI,MURKOWSKI,MURKOWSKI,L_MURKOWSKI,F,R,AK,West,57.61806982,Boomers,8,8,"(1, 10]","(5, 100]"
56,MARCO RUBIO,MARCO RUBIO,RUBIO,RUBIO,M_RUBIO,M,R,FL,Southeast,43.60301164,Gen X,3,3,"(1, 10]","(1, 5]"
57,MARIA CANTWELL,MARIA CANTWELL,CANTWELL,CANTWELL,M_CANTWELL,F,D,WA,West,56.22450376,Boomers,9,8,"(1, 10]","(5, 100]"
58,MARK KIRK,MARK KIRK,KIRK,KIRK,M_KIRK,M,R,IL,Midwest,55.30184805,Boomers,8,3,"(1, 10]","(1, 5]"
59,MARK WARNER,MARK WARNER,WARNER,WARNER,M_WARNER,M,D,VA,Southeast,60.05201916,Boomers,4,4,"(1, 10]","(1, 5]"
60,MARTIN HEINRICH,MARTIN HEINRICH,HEINRICH,HEINRICH,M_HEINRICH,M,D,NM,West,43.21423682,Gen X,4,2,"(1, 10]","(1, 5]"
61,MAZIE HIRONO,MAZIE HIRONO,HIRONO,HIRONO,M_HIRONO,F,D,HI,West,67.16769336,Boomers,5,2,"(1, 10]","(1, 5]"
62,MICHAEL BENNET,MICHAEL BENNET,BENNET,BENNET,M_BENNET,M,D,CO,West,50.0971937,Boomers,4,4,"(1, 10]","(1, 5]"
63,MICHAEL CRAPO,MICHAEL CRAPO,CRAPO,CRAPO,M_CRAPO,M,R,ID,West,63.62491444,Boomers,12,9,"(10, 100]","(5, 100]"
64,MICHAEL ENZI,MICHAEL ENZI,ENZI,ENZI,M_ENZI,M,R,WY,West,70.92128679,Silent,10,10,"(1, 10]","(5, 100]"
65,MIKE LEE,MIKE LEE,LEE,LEE,M_LEE,M,R,UT,West,43.58384668,Gen X,3,3,"(1, 10]","(1, 5]"
66,MIKE ROUNDS,MARION ROUNDS,ROUNDS,ROUNDS,M_ROUNDS,M,R,SD,Midwest,60.19438741,Boomers,1,1,"(0, 1]","(0, 1]"
67,Addison Mitchell (Mitch) MCCONNELL,ADDISON MCCONNELL,MCCONNELL,MCCONNELL,A_MCCONNELL,M,R,KY,Southeast,72.8678987,Silent,16,16,"(10, 100]","(5, 100]"
68,ORRIN HATCH,ORRIN HATCH,HATCH,HATCH,O_HATCH,M,R,UT,West,80.78576318,Silent,20,20,"(10, 100]","(5, 100]"
69,Charles Patrick (Pat) ROBERTS,CHARLES ROBERTS,ROBERTS,ROBERTS,C_ROBERTS,M,R,KS,Midwest,78.70499658,Silent,18,10,"(10, 100]","(5, 100]"
70,PATRICK LEAHY,PATRICK LEAHY,LEAHY,LEAHY,P_LEAHY,M,D,VT,Northeast,74.75975359,Silent,21,21,"(10, 100]","(5, 100]"
71,PATRICK TOOMEY,PATRICK TOOMEY,TOOMEY,TOOMEY,P_TOOMEY,M,R,PA,Northeast,53.12799452,Boomers,6,3,"(1, 10]","(1, 5]"
72,PATTY MURRAY,PATTY MURRAY,MURRAY,MURRAY,P_MURRAY,F,D,WA,West,64.22997947,Boomers,12,12,"(10, 100]","(5, 100]"
73,RAND PAUL,RAND PAUL,PAUL,PAUL,R_PAUL,M,R,KY,Southeast,51.9890486,Boomers,3,3,"(1, 10]","(1, 5]"
74,RICHARD BLUMENTHAL,RICHARD BLUMENTHAL,BLUMENTHAL,BLUMENTHAL,R_BLUMENTHAL,M,D,CT,Northeast,68.88706366,Boomers,3,3,"(1, 10]","(1, 5]"
75,RICHARD BURR,RICHARD BURR,BURR,BURR,R_BURR,M,R,NC,Southeast,59.09377139,Boomers,11,6,"(10, 100]","(5, 100]"
76,RICHARD DURBIN,RICHARD DURBIN,DURBIN,DURBIN,R_DURBIN,M,D,IL,Midwest,70.11635866,Silent,17,10,"(10, 100]","(5, 100]"
77,RICHARD SHELBY,RICHARD SHELBY,SHELBY,SHELBY,R_SHELBY,M,R,AL,Southeast,80.66255989,Silent,19,15,"(10, 100]","(5, 100]"
78,ROBERT CASEY,ROBERT CASEY,CASEY,CASEY,R_CASEY,M,D,PA,Northeast,54.72416153,Boomers,5,5,"(1, 10]","(1, 5]"
79,ROBERT MENENDEZ,ROBERT MENENDEZ,MENENDEZ,MENENDEZ,R_MENENDEZ,M,D,NJ,Northeast,61.00479124,Boomers,12,5,"(10, 100]","(1, 5]"
80,ROBERT PORTMAN,ROBERT PORTMAN,PORTMAN,PORTMAN,R_PORTMAN,M,R,OH,Midwest,59.04175222,Boomers,10,3,"(1, 10]","(1, 5]"
81,ROGER WICKER,ROGER WICKER,WICKER,WICKER,R_WICKER,M,R,MS,South,63.49897331,Boomers,11,4,"(10, 100]","(1, 5]"
82,RON JOHNSON,RON JOHNSON,JOHNSON,JOHNSON,R_JOHNSON,M,R,WI,Midwest,59.73990418,Boomers,3,3,"(1, 10]","(1, 5]"
83,Ronald Lee WYDEN,RONALD WYDEN,WYDEN,WYDEN,R_WYDEN,M,D,OR,West,65.67008898,Boomers,18,10,"(10, 100]","(5, 100]"
84,ROY BLUNT,ROY BLUNT,BLUNT,BLUNT,R_BLUNT,M,R,MO,Midwest,64.98015058,Boomers,10,3,"(1, 10]","(1, 5]"
85,SHELDON WHITEHOUSE,SHELDON WHITEHOUSE,WHITEHOUSE,WHITEHOUSE,S_WHITEHOUSE,M,D,RI,Northeast,59.20602327,Boomers,5,5,"(1, 10]","(1, 5]"
86,SHELLEY CAPITO,SHELLEY CAPITO,CAPITO,CAPITO,S_CAPITO,F,R,WV,Southeast,61.10335387,Boomers,8,1,"(1, 10]","(0, 1]"
87,SHERROD BROWN,SHERROD BROWN,BROWN,BROWN,SH_BROWN,M,D,OH,Midwest,62.14921287,Boomers,12,5,"(10, 100]","(1, 5]"
88,STEVE DAINES,STEVE DAINES,DAINES,DAINES,S_DAINES,M,R,MT,West,52.37234771,Boomers,2,1,"(1, 10]","(0, 1]"
89,SUSAN COLLINS,SUSAN COLLINS,COLLINS,COLLINS,S_COLLINS,F,R,ME,Northeast,62.07255305,Boomers,10,10,"(1, 10]","(5, 100]"
90,TAMMY BALDWIN,TAMMY BALDWIN,BALDWIN,BALDWIN,T_BALDWIN,F,D,WI,Midwest,52.89253936,Boomers,9,2,"(1, 10]","(1, 5]"
91,Rafael Edward (Ted) CRUZ,RAFAEL CRUZ,CRUZ,CRUZ,R_CRUZ,M,R,TX,South,44.03285421,Gen X,2,2,"(1, 10]","(1, 5]"
92,WILLIAM COCHRAN,WILLIAM COCHRAN,COCHRAN,COCHRAN,W_COCHRAN,M,R,MS,South,77.07323751,Silent,22,19,"(10, 100]","(5, 100]"
93,THOM TILLIS,THOMAS TILLIS,TILLIS,TILLIS,T_TILLIS,M,R,NC,Southeast,54.34360027,Boomers,1,1,"(0, 1]","(0, 1]"
94,THOMAS CARPER,THOMAS CARPER,CARPER,CARPER,T_CARPER,M,D,DE,Northeast,67.94524298,Boomers,13,8,"(10, 100]","(5, 100]"
95,TIM SCOTT,TIM SCOTT,SCOTT,SCOTT,T_SCOTT,M,R,SC,Southeast,49.28952772,Gen X,3,2,"(1, 10]","(1, 5]"
96,TIMOTHY KAINE,TIMOTHY KAINE,KAINE,KAINE,T_KAINE,M,D,VA,Southeast,56.85147159,Boomers,2,2,"(1, 10]","(1, 5]"
97,TOM COTTON,TOM COTTON,COTTON,COTTON,T_COTTON,M,R,AR,South,37.64271047,Gen X,2,1,"(1, 10]","(0, 1]"
98,TOM UDALL,THOMAS UDALL,UDALL,UDALL,T_UDALL,M,D,NM,West,66.62833676,Boomers,9,4,"(1, 10]","(1, 5]"
